#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648704577667113,184.711969607884,0.0665719008945266,17.70824,16.61069,16.19772,16.0625,16.00229,752,301,4,275,3722398897436467200,STAR,0.0001723799,3306,54922,632
1237648704577667170,184.770203854765,0.198010050309852,18.18974,17.23738,16.89113,16.75727,16.71052,752,301,4,275,2880147963550656512,STAR,0.0005198076,2558,54140,349
1237648704577667254,184.782697712007,0.140979369185379,19.0764,17.78953,16.98818,16.60519,16.27859,752,301,4,275,324389498853025792,GALAXY,0.1169446,288,52000,474
1237648704577667370,184.765155339711,0.0809857944756924,19.18013,18.07133,17.71771,17.48797,17.55667,752,301,4,275,324388674219304960,GALAXY,0.06807999,288,52000,471
1237648704577732623,184.863598135271,0.143469362841369,18.38848,17.00188,16.37884,16.16978,16.0124,752,301,4,276,2880145764527400960,STAR,0.0001359466,2558,54140,341
1237648704577732624,184.864190324522,0.143441661714473,17.93407,16.64581,16.22206,16.07029,16.06046,752,301,4,276,2891416308686022656,STAR,0.0001580866,2568,54153,383
1237648704577732627,184.875528613881,0.0330608120747109,19.03059,18.10673,17.82561,17.71227,17.6878,752,301,4,276,2880149612818098176,STAR,-0.0001673784,2558,54140,355
1237648704577732629,184.876314438781,0.185151372196083,18.12978,17.17421,16.75108,16.5884,16.48527,752,301,4,276,2880158408911120384,STAR,0.0006924281,2558,54140,387
1237648704577732659,184.956985534292,0.156360266610549,18.15079,16.77761,16.2215,16.02345,15.91957,752,301,4,276,2880158134033213440,STAR,0.0003043607,2558,54140,386
1237648704577732678,184.832199654394,0.0443065474951896,19.52092,17.58562,16.4269,15.94473,15.56269,752,301,4,276,324390873242560512,GALAXY,0.1506381,288,52000,479
1237648704577798182,184.972215250789,0.0977542414012398,18.90592,17.46608,16.85369,16.58687,16.41878,752,301,4,277,2880160607934375936,STAR,0.0005782798,2558,54140,395
1237648704577798192,184.994275093996,0.109160932922454,17.7019,16.76073,16.48746,16.38173,16.33654,752,301,4,277,2880161982323910656,STAR,0.0007047363,2558,54140,400
1237648704577798195,185.001255510948,0.0697238291079429,18.85351,17.97745,17.6112,17.45679,17.40576,752,301,4,277,4330255111555096576,STAR,-0.0006761952,3846,55327,160
1237648704577798233,185.065069513291,0.142442894170629,18.75478,17.58247,17.08046,16.87063,16.75911,752,301,4,277,2880159233544841216,STAR,-0.0005032555,2558,54140,390
1237648704577798243,185.085913140077,0.0999538509191282,18.33616,17.30684,16.92903,16.78272,16.73807,752,301,4,277,2880161157690189824,STAR,7.605989E-05,2558,54140,397
1237648704577798292,185.027385378752,0.0953460985269358,19.1713,18.01316,17.42493,17.04493,16.82237,752,301,4,277,324395546166978560,GALAXY,0.1183854,288,52000,496
1237648704577798298,185.036388314839,0.176677549731792,19.12083,17.92189,17.18494,16.7895,16.52258,752,301,4,277,324400493969303552,GALAXY,0.1575296,288,52000,514
1237648704577863722,185.164375673881,0.0743580690685865,17.55001,17.42367,17.35734,17.19343,16.97589,752,301,4,278,324401043725117440,QSO,2.044347,288,52000,516
1237648704577863739,185.217051383,0.155193816126299,18.89707,18.04519,17.7501,17.6378,17.6124,752,301,4,278,2880170503539025920,STAR,0.0002502912,2558,54140,431
1237648704577863764,185.136728759138,0.0715140625343911,19.48347,17.51522,16.31651,15.83499,15.4368,752,301,4,278,324397195434420224,GALAXY,0.1585163,288,52000,502
1237648704577863838,185.23060767902,0.0100995809288788,19.31764,18.38629,18.12009,17.9998,17.93916,752,301,4,278,2891385247482537984,STAR,0.0005767042,2568,54153,270
1237648704577929245,185.377250904496,0.200803726812151,17.964,16.39632,15.74191,15.4828,15.32453,752,301,4,279,2880168029637863424,STAR,0.0003497983,2558,54140,422
1237648720684974090,159.624964770133,-0.620714450464162,19.19383,18.20278,17.90109,17.77634,17.74759,756,301,2,293,4245951160647655424,STAR,-0.0002564917,3771,55544,664
1237648720685039745,159.797841557464,-0.557196465638875,19.19752,18.07471,17.76889,17.6148,17.49577,756,301,2,294,308559553610409984,GALAXY,0.02335118,274,51913,229
1237648720685039749,159.803302223155,-0.535038616495876,19.26627,18.16093,17.59907,17.2172,17.06311,756,301,2,294,308557354587154432,GALAXY,0.1236402,274,51913,221
1237648720685039769,159.847523457182,-0.534266400017217,19.38251,17.92302,17.11018,16.66492,16.34558,756,301,2,294,308547733860411392,GALAXY,0.1141676,274,51913,186
1237648720685105261,159.939345477933,-0.609184323114403,19.48702,18.51823,18.18637,18.06704,18.05865,756,301,2,295,4315601369715154944,STAR,0.0007902409,3833,55290,98
1237648720685105352,160.034263606852,-0.421625751212431,19.2634,17.67693,16.82551,16.42307,16.13864,756,301,2,295,308551032395294720,GALAXY,0.1330486,274,51913,198
1237648720685105353,160.035161870165,-0.599992668573346,19.31866,18.27407,17.74884,17.41618,17.24165,756,301,2,295,308547184104597504,GALAXY,0.07470067,274,51913,184
1237648720685170714,160.144209078344,-0.489329777701818,18.73682,17.65075,17.23958,17.07875,17.03255,756,301,2,296,308541686546458624,STAR,0.0001067668,274,51913,164
1237648720685170803,160.119405032498,-0.618130050302146,19.29416,17.97134,17.26079,16.86013,16.56031,756,301,2,296,308541411668551680,GALAXY,0.08692535,274,51913,163
1237648720685236313,160.227546792932,-0.433199866817967,19.48611,17.93822,17.21548,16.82853,16.53911,756,301,2,297,309705244676220928,GALAXY,0.1335348,275,51910,301
1237648720685236327,160.248668673739,-0.5799923607078,19.31804,17.30973,16.17525,15.69015,15.31261,756,301,2,297,309702495897151488,GALAXY,0.1370104,275,51910,291
1237648720685301855,160.383115087355,-0.459235230744618,19.29157,17.3125,16.17862,15.70898,15.31378,756,301,2,298,309708818089011200,GALAXY,0.1373722,275,51910,314
1237648720685301865,160.384805843203,-0.586704796317675,19.52565,19.29625,18.95885,18.52108,18.57694,756,301,2,298,309699747118082048,QSO,0.1346428,275,51910,281
1237648720685301891,160.433951720843,-0.60848149784989,19.38467,18.59734,18.12431,17.74761,17.63823,756,301,2,298,309704969798313984,GALAXY,0.1321922,275,51910,300
1237648720685301897,160.443642405501,-0.600549711940271,18.27173,17.0717,16.65145,16.39055,16.27766,756,301,2,298,308536188988319744,GALAXY,0.03641907,274,51913,144
1237648720685301915,160.453491880986,-0.617038417187846,19.10892,17.76311,16.91794,16.47233,16.19134,756,301,2,298,308538937767389184,GALAXY,0.1383506,274,51913,154
1237648720685367341,160.658206688942,-0.439603952369512,17.78707,16.12342,15.48934,15.2674,15.14027,756,301,2,299,2881263419237885952,STAR,0.0001495263,2559,54208,311
1237648720685432836,160.675454247736,-0.559791087508745,17.54073,15.83706,15.15225,14.91498,14.82364,756,301,2,300,2881265893139048448,STAR,0.0002366447,2559,54208,320
1237648720685432838,160.717003902836,-0.609533502346751,18.44119,17.54684,17.27727,17.1878,17.20361,756,301,2,300,2881256272412305408,STAR,-0.0001142027,2559,54208,285
1237648720685432844,160.730354569301,-0.521740212479993,19.13281,17.80045,17.2643,17.07242,16.98861,756,301,2,300,2881264243871606784,STAR,0.0001864681,2559,54208,314
1237648720685432893,160.812107664469,-0.520466084951868,19.42387,18.24594,18.31933,18.40867,18.52614,756,301,2,300,2892522968498333696,STAR,0.0008307828,2569,54234,313
1237648720685432899,160.816637445029,-0.557673714066304,17.95812,16.9013,16.52805,16.39926,16.37399,756,301,2,300,2689860710036432896,STAR,-7.664677E-05,2389,54213,312
1237648720685432904,160.820289163017,-0.522240979732535,16.344,14.85487,14.29812,14.12055,14.08315,756,301,2,300,2881263968993699840,STAR,-4.793931E-05,2559,54208,313
1237648720685432926,160.701488161811,-0.445422708965195,19.34314,18.12056,17.55584,17.19446,16.9961,756,301,2,300,309694249559943168,GALAXY,0.08592108,275,51910,261
1237648720685498405,160.848680225324,-0.627079872192726,17.73398,16.84657,16.57527,16.48237,16.4738,756,301,2,301,2881260395580909568,STAR,0.0007001679,2559,54208,300
1237648720685498439,160.938239960654,-0.423246618354765,17.37104,15.78487,14.98982,14.58674,14.25872,756,301,2,301,309694799315757056,GALAXY,0.03910941,275,51910,263
1237648720685498440,160.936366044011,-0.421334412890772,19.51073,18.05851,17.59638,17.33996,17.29404,756,301,2,301,308514473633671168,GALAXY,0.03917867,274,51913,65
1237648720685498487,160.861938713304,-0.422734986442411,19.44424,18.23033,17.64066,17.2346,17.04825,756,301,2,301,309695898827384832,GALAXY,0.1273446,275,51910,267
1237648720685498544,160.878831962127,-0.584109529483157,19.11186,17.90859,17.40774,17.19731,17.05761,756,301,2,301,308515848023205888,GALAXY,0.0190457,274,51913,70
1237648720685563922,160.991345266605,-0.507477147979804,18.6673,16.70426,15.81967,15.40313,15.06115,756,301,2,302,309695349071570944,GALAXY,0.05955937,275,51910,265
1237648720685563944,160.995313670031,-0.478531394049605,19.04517,17.87662,17.49664,17.37287,17.33316,756,301,2,302,309696173705291776,STAR,6.10283E-05,275,51910,268
1237648720685563948,160.997737410462,-0.468998759309602,17.94459,16.51015,15.8354,15.40969,15.10252,756,301,2,302,308515573145298944,GALAXY,0.06012432,274,51913,69
1237648720685563954,161.008467930794,-0.578964770461464,17.3725,16.25937,15.88727,15.75644,15.71021,756,301,2,302,2881260670458816512,STAR,-0.0001872481,2559,54208,301
1237648720685563980,161.062343865138,-0.494714914774926,16.45379,15.02962,14.56318,14.40143,14.359,756,301,2,302,2881250774854166528,STAR,-4.957489E-05,2559,54208,265
1237648720685563984,161.090029883974,-0.612438382465723,19.26927,18.24939,17.96535,17.83665,17.80351,756,301,2,302,2892508949725079552,STAR,0.0008991418,2569,54234,262
1237648720685563989,161.09480103804,-0.452049785506271,17.8271,16.23793,15.67866,15.49427,15.41664,756,301,2,302,2881251324609980416,STAR,-7.835384E-05,2559,54208,267
1237648720685563996,161.115242972363,-0.575633406817007,17.88776,16.52607,16.03367,15.85057,15.80518,756,301,2,302,2689848615408527360,STAR,0.0001079826,2389,54213,268
1237648720685564025,160.991100535686,-0.56137253548599,19.58396,17.64963,16.73063,16.29203,15.94702,756,301,2,302,309691500780873728,GALAXY,0.06164807,275,51910,251
1237648720685564031,160.998159088509,-0.588311671709767,18.1781,16.13568,15.28753,14.89827,14.56479,756,301,2,302,308503753395300352,GALAXY,0.06063098,274,51913,26
1237648720685564032,160.996765036117,-0.588244892405631,18.38625,16.39808,15.40492,14.88012,14.50048,756,301,2,302,309692600292501504,GALAXY,0.06067357,275,51910,255
1237648720685564127,161.064324651252,-0.484587013588463,18.77188,17.15955,16.35564,15.94145,15.65799,756,301,2,302,308505952418555904,GALAXY,0.0603932,274,51913,34
1237648720685629451,161.133528799101,-0.569857253093228,16.63374,15.54072,15.18744,15.06259,15.03905,756,301,2,303,2881249675342538752,STAR,0.0004500991,2559,54208,261
1237648720685629498,161.180584400761,-0.45639741314626,17.14849,15.83151,15.35753,15.18887,15.12737,756,301,2,303,2881251874365794304,STAR,0.0001615622,2559,54208,269
1237648720685629515,161.210748792098,-0.433373885896122,16.23113,15.20485,14.95443,14.8674,14.86301,756,301,2,303,2881254073389049856,STAR,-0.0001117433,2559,54208,277
1237648720685629523,161.226535503208,-0.470463619391042,18.56268,17.14623,16.5559,16.29699,16.157,756,301,2,303,2881254623144863744,STAR,0.0006572489,2559,54208,279
1237648720685629545,161.255471004554,-0.531927476620096,17.47383,16.41803,16.07634,15.96205,15.90247,756,301,2,303,2881240604371609600,STAR,-0.0002870185,2559,54208,228
1237648720685629571,161.142639725754,-0.43457405330704,19.38031,18.07652,17.34212,16.86341,16.50079,756,301,2,303,308504303151114240,GALAXY,0.08483262,274,51913,28
1237648720685629588,161.16420167063,-0.434453904799384,19.05616,17.70945,16.99192,16.54076,16.26619,756,301,2,303,309698372728547328,GALAXY,0.08539017,275,51910,276
1237648720685629591,161.173681703416,-0.503545460852125,18.95158,17.47266,16.70008,16.29777,15.99012,756,301,2,303,309696723461105664,GALAXY,0.1161265,275,51910,270
1237648720148693178,161.073789475161,-0.892740340416528,19.11236,17.92701,17.42347,17.0868,16.83476,756,301,1,302,309680505664595968,GALAXY,0.03869415,275,51910,211
1237648720148693392,161.024471800569,-0.962380281033404,18.86752,17.33773,16.80683,16.55789,16.38996,756,301,1,302,309689851513432064,GALAXY,0.02655639,275,51910,245
1237648720148758553,161.194122887295,-1.02362394266803,18.95785,18.08318,17.78178,17.65689,17.61821,756,301,1,303,2881248300953004032,STAR,0.0008893495,2559,54208,256
1237648720148758578,161.238813953721,-0.840751356983321,17.80041,16.46003,15.90095,15.66963,15.53772,756,301,1,303,2881259845825095680,STAR,0.0003864227,2559,54208,298
1237648720148758595,161.248030274098,-0.958166788609334,18.76266,17.25724,16.68513,16.47563,16.38993,756,301,1,303,2881249400464631808,STAR,0.0001839804,2559,54208,260
1237648720148824071,161.273419770273,-0.996668901359879,16.82701,15.30022,14.73089,14.5436,14.44859,756,301,1,304,2881249125586724864,STAR,3.983208E-05,2559,54208,259
1237648720148824098,161.303100726332,-0.964276286424861,19.01558,17.72445,17.18152,16.97813,16.85652,756,301,1,304,2689841743460853760,STAR,0.0003655541,2389,54213,243
1237648720148824101,161.307553227063,-1.04636157769898,17.72604,17.4621,17.24036,17.21479,17.09174,756,301,1,304,4262820418115575808,QSO,0.9693318,3786,55563,594
1237648720148824106,161.307623277674,-0.922529502663323,18.6769,17.78154,17.52458,17.42232,17.38025,756,301,1,304,2881245002418120704,STAR,0.0001825866,2559,54208,244
1237648720148824141,161.350691780412,-0.893119393971503,18.12173,16.84951,16.38322,16.20272,16.10719,756,301,1,304,2689842018338760704,STAR,0.0002386696,2389,54213,244
1237648720148824155,161.358511115723,-1.02001339916315,18.68765,18.61862,18.59058,18.50573,18.31973,756,301,1,304,309681605176223744,QSO,2.093151,275,51910,215
1237648720148889604,161.425648703678,-0.991083326763932,18.82957,17.93844,17.56125,17.39783,17.33559,756,301,1,305,2881247201441376256,STAR,0.0003565107,2559,54208,252
1237648720148889609,161.44070333636,-0.974533128728588,17.56939,16.61339,16.2723,16.13031,16.0821,756,301,1,305,2881235656569284608,STAR,0.0003324815,2559,54208,210
1237648720148889820,161.487169607022,-0.879257492160153,19.56237,17.59451,16.7141,16.29138,15.95551,756,301,1,305,309657965676226560,GALAXY,0.08621725,275,51910,129
1237648720148889846,161.564309121852,-1.01780443265946,19.56588,18.63518,18.09855,17.7029,17.48965,756,301,1,305,309656041530877952,GALAXY,0.06744873,275,51910,122
1237648720148955142,161.578305545842,-0.856035601534719,18.45709,17.05875,16.56312,16.35972,16.28534,756,301,1,306,2881235931447191552,STAR,0.0002912989,2559,54208,211
1237648720148955280,161.68037891671,-0.875843442209718,18.0872,16.64009,16.17627,15.98626,15.92437,756,301,1,306,2689833222245738496,STAR,6.274234E-05,2389,54213,212
1237648720148955283,161.693352692403,-0.923690302495205,18.20489,17.12961,16.79656,16.62952,16.57625,756,301,1,306,2881236481203005440,STAR,0.0009959292,2559,54208,213
1237648720148955318,161.635132142911,-0.855769710702975,19.39882,18.3913,17.85607,17.46761,17.32818,756,301,1,306,309660439577389056,GALAXY,0.150701,275,51910,138
1237648720149020680,161.737924524662,-1.01584189934683,17.46669,16.36004,15.87807,15.65679,15.56303,756,301,1,307,2881211742191380480,STAR,0.0006956038,2559,54208,123
1237648720149020689,161.741679554312,-0.987110454122463,17.66388,18.01819,18.96769,18.32366,16.18336,756,301,1,307,4262863024191152128,STAR,5.171339E-05,3786,55563,749
1237648720149020696,161.741646701087,-0.84602936624305,17.70241,17.84848,18.15799,18.38987,18.71965,756,301,1,307,2712356168134584320,STAR,5.778568E-05,2409,54210,230
1237648720149020955,161.740891339265,-0.979873710242681,18.53678,17.96047,17.373,17.21301,17.18247,756,301,1,307,309659889821575168,GALAXY,0.03981317,275,51910,136
1237648720149020986,161.811256682895,-1.02095041698904,19.28844,17.89368,17.29176,17.05897,16.92672,756,301,1,307,2689810407379462144,STAR,-0.0001389605,2389,54213,129
1237648720149086217,161.881550127466,-0.919919301104188,17.5803,15.91818,15.3324,15.12888,15.04031,756,301,1,308,2689812606402717696,STAR,7.933867E-05,2389,54213,137
1237648720149086328,161.935475781852,-0.950524204852109,17.58302,16.1223,15.61429,15.4367,15.37343,756,301,1,308,2881211192435566592,STAR,9.736203E-05,2559,54208,121
1237648720149086374,161.884334550922,-0.944497871648988,18.97204,17.9849,17.66618,17.43481,17.32352,756,301,1,308,309644771536693248,GALAXY,0.05151358,275,51910,81
1237648720149151773,162.047298028103,-0.840633793220611,17.07819,15.49603,14.84319,14.54306,14.38931,756,301,1,309,2881214216092542976,STAR,0.0005434994,2559,54208,132
1237648720149151860,162.081346538473,-0.941748912922624,19.43337,18.54425,18.21197,18.07626,17.99902,756,301,1,309,4316714087629168640,STAR,0.0005863355,3834,56014,50
1237648720149151862,162.098583971208,-0.914676301123324,18.30903,17.08338,16.65224,16.48205,16.39475,756,301,1,309,2881214490970449920,STAR,0.0001178469,2559,54208,133
1237648720149151871,162.120042562271,-0.963064279554922,18.2861,18.11478,18.14232,18.02426,18.03402,756,301,1,309,309636525199484928,QSO,1.741678,275,51910,51
1237648720149151888,162.161326712986,-1.04170596594895,16.67229,15.52946,15.16349,15.04075,15.00277,756,301,1,309,2881201021953009664,STAR,5.172362E-05,2559,54208,84
1237648720149217362,162.177630999344,-1.00711747607598,18.04392,16.98619,16.67233,16.54937,16.49476,756,301,1,310,2689798587629463552,STAR,0.0002644813,2389,54213,86
1237648720149217369,162.199739985484,-1.01466106953467,18.85257,17.86745,17.55789,17.43459,17.38357,756,301,1,310,2689799137385277440,STAR,-5.867006E-07,2389,54213,88
1237648720149217394,162.224811282596,-0.987748766912312,16.86535,15.81168,15.47238,15.32898,15.27367,756,301,1,310,2881202121464637440,STAR,0.0002749185,2559,54208,88
1237648720149217396,162.246565533883,-0.918542011081873,17.71105,16.34725,15.83003,15.60209,15.47698,756,301,1,310,2689799687141091328,STAR,-0.0004562202,2389,54213,90
1237648720149217472,162.305639015325,-1.00378082927994,19.18404,19.1997,19.1041,18.78402,18.68743,756,301,1,310,309624705449486336,QSO,2.006571,275,51910,8
1237648720149217496,162.204213574552,-0.987362486566865,17.80165,16.61996,16.1181,15.85237,15.64157,756,301,1,310,309633776420415488,GALAXY,0.02614697,275,51910,41
1237648720149217569,162.289475016657,-0.908548804887083,18.66761,16.83642,15.95352,15.51473,15.16474,756,301,1,310,310827296275589120,GALAXY,0.03804233,276,51909,287
1237648720149282913,162.333718179587,-1.00123682508989,18.45831,17.09308,16.55146,16.36101,16.27274,756,301,1,311,2881202671220451328,STAR,0.0003886497,2559,54208,90
1237648720149282917,162.345199746074,-0.846905434888743,19.45426,17.49314,16.74405,16.50129,16.34002,756,301,1,311,2689800511774812160,STAR,0.000164115,2389,54213,93
1237648720149282950,162.410052514389,-0.97466997235962,17.57672,16.30313,15.82177,15.6353,15.5685,756,301,1,311,2881201846586730496,STAR,0.0003267333,2559,54208,87
1237648720149283041,162.406377465927,-0.907118294528233,18.41814,17.17549,16.63656,16.31784,16.1021,756,301,1,311,310825921886054400,GALAXY,0.03836371,276,51909,282
1237648720149348376,162.492428699385,-1.03751166897491,19.16261,17.45277,16.81324,16.56124,16.44654,756,301,1,312,2689789516658534400,STAR,7.817891E-05,2389,54213,53
1237648720149348493,162.588827954316,-0.872012929791216,17.37496,16.06552,15.63478,15.48339,15.42321,756,301,1,312,2689790891048069120,STAR,5.264092E-05,2389,54213,58
1237648720149348494,162.586296880606,-0.873837221516532,18.81535,16.69037,15.70883,15.31833,14.85697,756,301,1,312,310830869688379392,GALAXY,0.1074627,276,51909,300
1237648720149348522,162.598510059479,-0.990873937178087,18.02848,16.65369,16.06824,15.82721,15.70943,756,301,1,312,2689786767879464960,STAR,-3.757326E-05,2389,54213,43
1237648720149348536,162.611023849051,-0.890844708665695,17.33813,15.96866,15.49672,15.33282,15.27834,756,301,1,312,2689790066414348288,STAR,-4.708583E-05,2389,54213,55
1237648720149348588,162.547149689414,-1.00205650850201,19.48367,18.1998,17.55522,17.15322,16.93752,756,301,1,312,309624430571579392,GALAXY,0.1045614,275,51910,7
1237648720149413909,162.667395647488,-0.900916547433527,16.52364,15.40187,15.08259,14.97577,14.95088,756,301,1,313,2881193875127429120,STAR,0.0002630509,2559,54208,58
1237648705129414741,218.729172109061,0.458112049320336,16.97457,15.7859,15.32505,15.16091,15.08877,752,301,5,502,345758776562837504,STAR,-5.700218E-06,307,51663,391
1237648705129480247,218.832171063006,0.475729990144539,16.75927,15.62012,15.041,14.71669,14.44965,752,301,5,503,344690050824431616,GALAXY,0.02956719,306,51637,599
1237648705129545834,219.083276955011,0.576226173290968,18.70255,17.71797,17.34371,17.17482,17.1185,752,301,5,504,344697197650012160,STAR,2.465603E-05,306,51637,625
1237648705129611390,219.196913277161,0.627944731367488,19.54733,18.17471,17.46927,17.09822,16.84518,752,301,5,505,345768397289580544,GALAXY,0.1097059,307,51663,426
1237648705129611548,219.137657178715,0.432899037425529,19.20287,16.59277,15.70658,15.25103,14.89744,752,301,5,505,345768122411673600,GALAXY,0.07221484,307,51663,425
1237648705129677001,219.25040094185,0.564754110678146,19.07784,18.06951,17.70663,17.49811,17.31405,752,301,5,506,603539833507309568,GALAXY,0.03472417,536,52024,209
1237648705129807917,219.561766324215,0.547663882042828,19.06822,17.80601,17.33803,17.16516,17.09147,752,301,5,508,345778018016323584,STAR,-2.661196E-05,307,51663,461
1237648705129807919,219.581971176222,0.471852739321672,18.56313,18.53411,18.38498,18.37235,18.3623,752,301,5,508,345779667283765248,QSO,1.257948,307,51663,467
1237648705129807921,219.582247044156,0.595887056843413,17.89559,16.71264,16.2921,16.1399,16.07841,752,301,5,508,345778292894230528,STAR,7.054803E-05,307,51663,462
1237648705129807925,219.588635191034,0.510878933498699,19.14528,18.19967,17.89295,17.78337,17.73488,752,301,5,508,4532000102475079680,STAR,-0.0002764822,4025,55350,920
1237648705129808056,219.661166357578,0.569298323362805,19.47595,18.6116,18.52926,18.76056,18.28581,752,301,5,508,345779942161672192,STAR,-0.0003850405,307,51663,468
1237648705129808058,219.665185835745,0.441050803182729,19.29275,19.02275,18.92752,18.85194,18.76428,752,301,5,508,345778842650044416,QSO,1.971239,307,51663,464
1237648705129873672,219.779772733696,0.508632555826582,17.27438,16.14879,15.72019,15.48375,15.35073,752,301,5,509,345785164841904128,GALAXY,0.03325611,307,51663,487
1237648705129939239,219.938724564995,0.53120346543933,18.9146,17.67455,16.96098,16.57482,16.29057,752,301,5,510,345790937277949952,GALAXY,0.116515,307,51663,508
1237648705130004781,220.122411215283,0.584089431543556,16.93221,15.56652,14.92086,14.58185,14.3252,752,301,5,511,345800008248879104,GALAXY,0.03717615,307,51663,541
1237648705130070045,220.177629313375,0.606597158255356,18.73475,17.79811,17.46425,17.34566,17.29465,752,301,5,512,4528521797474164736,STAR,0.0002552782,4022,55352,554
1237648705130070251,220.181510498802,0.464743603443404,19.5796,17.68983,16.74287,16.33313,16.0111,752,301,5,512,345811278243063808,GALAXY,0.1092154,307,51663,582
